Gaia DR3 2028256013055835776,11.04,63.50709142714518,1.796340569,B,D,456.3084645220169,-31.62,64,47,35,33,31,43
Gaia DR3 2027157184267200256,11.48,63.663822275216916,-0.349730894,B,D,2409.058058299205,111.28,64,47,35,32,30,41
Gaia DR3 1834004366020059392,11.25,64.17922776,-4.359594979,B,D,2090.7380305247752,-362.3,66,49,35,31,28,38
Gaia DR3 1461233674662431232,15.09,64.23037668797723,86.97374913123606,B,E,9389.671361502347,30,26,34,48,64,82,95
Gaia DR3 1461234293137723264,16.33,64.88033242,86.92402693842989,B,E,10172.93997965412,127,26,34,48,64,82,95
Gaia DR3 1463302474510178048,15.22,66.99814741,82.07101521561407,B,E,14619.88304093567,-126,29,35,47,63,81,94
Gaia DR3 2654193925257989632,18.2,67.19210335,-47.1429884,B,E,65359.47712418301,-174.4,76,58,43,27,9,11
Gaia DR3 2630215642536021376,16.4,67.22371608,-60.70333355,B,E,22727.272727272728,-219,78,60,45,29,11,3
Gaia DR3 2360144628630316672,14.57,67.38404309846749,-82.96560726,B,E,2888.5037550548814,112,78,64,49,33,15,2
Gaia DR3 2045682344605505280,10.44,67.69431366106767,6.118997010255698,B,D,308.5753078038695,-25.16,65,48,39,38,36,47
Gaia DR3 1856995802683880064,11.44,68.40283566610138,-6.323683606,B,D,1447.8065730418418,-114.55,69,52,38,33,28,37
Gaia DR3 1463072195543136640,14.2,71.51905303307954,84.02477830769831,B,E,5783.689994,-46,28,35,48,64,82,95
Gaia DR3 2058403728495362432,10.59,71.79393309,1.1697014202292002,B,E,422.7257355427798,5.52,70,52,41,39,35,43
Gaia DR3 2072874985143833088,11.86,72.27546167068412,6.845293685859747,B,D,936.0666479453336,-17.66,69,52,43,42,39,49
Gaia DR3 2058761890094829440,11.27,72.28785878359955,0.8695783956121074,B,D,1927.1535941414531,-3.3,70,53,41,39,35,43
Gaia DR3 2059047458209448064,10.38,72.66616142926328,1.8191787528139793,B,D,3211.3037893384712,-6,70,53,42,40,35,44
Gaia DR3 1863697673959180800,11.12,73.17351602018441,-3.864039824,B,D,376.5485559,-18.67,72,55,41,38,32,39
Gaia DR3 1859430675485986304,11.53,73.32262428036492,-8.44585611,B,D,362.3844899438304,-9.77,73,55,41,35,29,36
Gaia DR3 2059236196250413696,8.57,73.62100279510437,1.8521061731538162,B,E,3178.639542275906,4,71,54,42,41,36,44
Gaia DR3 1862823149896891008,11.03,73.77111845537328,-6.48053832,B,D,412.9160128829796,0.54,73,55,42,37,31,37
Gaia DR3 1463879546315302400,16.23,74.05233833833583,87.31207091450091,B,E,13495.27665317139,-10.4,26,35,49,65,82,95
Gaia DR3 2057617302790441984,10.13,75.35239263823745,-1.425667113,B,D,1860.8113137327878,94.08,73,56,43,41,36,41
Gaia DR3 2060860587229678080,10.66,75.42968657893924,1.4719653925326013,B,D,2449.179524859172,-25,73,55,44,42,37,44
Gaia DR3 2057898159289947136,10.18,75.68661262,-0.102351421,B,D,307.73965225419295,-44.45,73,56,44,42,37,43
Gaia DR3 2056918391351771904,11.03,76.07522901608252,-2.204275073,B,E,3337.783711615488,97.78,74,57,44,41,36,41
Gaia DR3 1463524472779250304,14.64,76.22684046578973,82.77154324947527,B,E,6657.789613848203,-57,29,36,48,64,82,95
Gaia DR3 2057825071826030720,11.53,76.29523366846635,-0.605227906,B,D,360.7503607503608,-20.1,74,56,44,42,37,42
Gaia DR3 1469754924137343616,14,76.31205569960603,80.56222173795638,B,E,9910.802775024777,-132,31,37,48,64,81,95
Gaia DR3 2062162473397519360,11.76,76.39706405,2.7863271037262494,B,D,296.8239833778569,18.47,73,56,45,44,39,45
Gaia DR3 1463493720813382400,15.97,76.66872268145464,83.20990180254493,B,E,10604.453870625664,-112,29,36,48,64,82,95
Gaia DR3 2061213083772814080,8.42,77.20070458939422,0.9225152855927821,OC9.7Iab,C,1742.4638438752395,-18,75,57,46,43,39,44
Gaia DR3 2061232084708040320,8.62,77.36131398867524,1.1620550725924068,B,E,1710.5713308244954,-22,75,57,46,44,39,44
Gaia DR3 1465949583113350272,16.03,77.38094757568564,85.20181014490967,B,E,12391.573729863694,-224,28,35,48,64,82,95
